,0
754,135.0
755,205.0
756,124.0
757,138.0
758,85.0
759,202.0
760,71.0
761,212.0
762,81.0
763,124.0
764,127.0
765,130.0
766,98.0
767,145.0
768,200.0
769,189.0
770,91.0
771,66.0
772,85.0
773,125.0
774,89.0
775,76.0
776,140.0
777,132.0
778,117.0
779,82.0
780,64.0
781,129.0
782,137.0
783,81.0
784,149.0
785,141.0
786,104.0
787,189.0
788,136.0
789,148.0
790,79.0
791,202.0
792,85.0
793,129.0
794,132.0
795,123.0
796,134.0
797,83.0
798,132.0
799,119.0
800,205.0
801,200.0
802,76.0
803,118.0
804,130.0
805,119.0
806,140.0
807,115.0
808,197.0
809,205.0
810,76.0
811,130.0
812,118.0
813,116.0
814,205.0
815,132.0
816,136.0
817,91.0
818,89.0
819,74.0
820,148.0
821,130.0
822,138.0
823,202.0
824,124.0
825,209.0
826,138.0
827,132.0
828,129.0
829,124.0
830,132.0
831,99.0
832,128.0
833,141.0
834,205.0
835,123.0
836,205.0
837,135.0
838,79.0
839,127.0
840,110.0
841,139.0
842,136.0
843,120.0
844,113.0
845,205.0
846,154.0
847,186.0
848,134.0
849,108.0
850,91.0
851,114.0
852,136.0
853,148.0
854,131.0
855,88.0
856,120.0
857,142.0
858,206.0
859,76.0
860,146.0
861,129.0
862,150.0
863,136.0
864,128.0
865,203.0
866,78.0
867,132.0
868,146.0
869,74.0
870,132.0
871,127.0
872,74.0
873,132.0
874,125.0
875,209.0
876,132.0
877,78.0
878,118.0
879,130.0
880,123.0
881,113.0
882,154.0
883,108.0
884,127.0
885,136.0
886,136.0
887,82.0
888,121.0
889,123.0
890,209.0
891,74.0
892,136.0
893,86.0
894,205.0
895,86.0
896,81.0
897,123.0
898,87.0
899,100.0
900,96.0
901,82.0
902,123.0
903,120.0
904,205.0
905,130.0
906,128.0
907,96.0
908,130.0
909,73.0
910,121.0
911,117.0
912,144.0
913,134.0
914,76.0
915,68.0
916,133.0
917,143.0
918,78.0
919,132.0
920,135.0
921,86.0
922,123.0
923,86.0
924,152.0
925,209.0
926,104.0
927,88.0
928,95.0
929,83.0
930,82.0
931,131.0
932,89.0
933,89.0
934,130.0
935,205.0
936,83.0
